company_fullname,tweet_text,favorite_count,created_at,hashtags,tweet_id,lang,urls,user_followers,user_screen_name,crawling_time
MGB,RT @bourdyot_: #MGB GT Sebring 1967 https://t.co/2QK70lF9zk,0,Wed Mar 27 22:06:07 +0000 2019,MGB,1111026640446996480,en,,7939,Cosito1Horacio,2019-03-31|22:54
MGB,RT @bourdyot_: #MGB GT Sebring 1967 https://t.co/2QK70lF9zk,0,Wed Mar 27 22:01:48 +0000 2019,MGB,1111025554847944711,en,,992,Xtreme_Drive_UK,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 21:49:50 +0000 2019,,1111022543882862592,pt,,313,Ju_cruzzz,2019-03-31|22:54
MGB,RT @bourdyot_: #MGB GT Sebring 1967 https://t.co/2QK70lF9zk,0,Wed Mar 27 21:48:46 +0000 2019,MGB,1111022274776363008,en,,25176,roydenney,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 21:45:22 +0000 2019,,1111021420107182080,pt,,63,evelyneduardaa,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 21:40:47 +0000 2019,,1111020262642847745,pt,,442,KeehBblinda,2019-03-31|22:54
MGB,RT @Bringatrailer: Now live at BaT Auctions: Supercharged 1976 MG MGB Roadster https://t.co/fKa6h2OAnl https://t.co/iuSMm1D72d,0,Wed Mar 27 21:28:40 +0000 2019,,1111017216890335232,en,https://bringatrailer.com/listing/1976-mg-mgb-7/,65,LumMagnum,2019-03-31|22:54
MGB,RT @bourdyot_: @ronthorp You are right 👍it’s a MGC GTS the MGB is on the second picture 👌😉 https://t.co/VTRRhcvMXO,0,Wed Mar 27 21:26:04 +0000 2019,,1111016559537983490,en,,2484,ronthorp,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 21:14:26 +0000 2019,,1111013632375226368,pt,,728,Nfreeire,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 21:12:56 +0000 2019,,1111013256519389184,pt,,681,CostaHirion,2019-03-31|22:54
MGB,@ronthorp You are right 👍it’s a MGC GTS the MGB is on the second picture 👌😉 https://t.co/VTRRhcvMXO,3,Wed Mar 27 21:10:00 +0000 2019,,1111012517206245377,en,,1287,bourdyot_,2019-03-31|22:54
MGB,RT @Bringatrailer: Now live at BaT Auctions: Supercharged 1976 MG MGB Roadster https://t.co/fKa6h2OAnl https://t.co/iuSMm1D72d,0,Wed Mar 27 21:03:55 +0000 2019,,1111010986020868096,en,https://bringatrailer.com/listing/1976-mg-mgb-7/,355,BondsTeran,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 21:02:19 +0000 2019,,1111010585406246912,pt,,452,Magrellarayane,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 21:01:58 +0000 2019,,1111010497262948352,pt,,567,siribrinsky,2019-03-31|22:54
MGB,"RT @UKClassicCars: eBay: 1973 MG MGB GT, chrome bumper, 4-speed + OD, Rostyles, lots of spares and docs! https://t.co/B1oXEDwlyj #classicca…",0,Wed Mar 27 21:00:30 +0000 2019,,1111010127006613506,en,http://rssdata.net/R1fzKT,512,CLASSICCHAT,2019-03-31|22:54
MGB,"RT @Mthadeurdgz: Mgb tem corno q acha que a mulher é santa, piranha pobre que acha que as outras minas tem inveja dela, devorador de litrão…",0,Wed Mar 27 20:57:04 +0000 2019,,1111009264196354048,pt,,515,thamiryswerneck,2019-03-31|22:54
MGB,1978 MG MGB Convertible https://t.co/NpcHpBkn6k https://t.co/vmuXjqDVX7,0,Wed Mar 27 20:56:12 +0000 2019,,1111009046587428864,tl,https://ift.tt/2u8HwpB,922,autabuy,2019-03-31|22:54
MGB,"RT @maryashakil: Bihar MGB seat sharing announced. Here is how the arithmetic stands as per 2014 Lok Sabha results. 
-CONG: 8.56%
-RJD: 20.…",0,Wed Mar 27 20:55:24 +0000 2019,,1111008844673703936,en,,1197,SarahTitus0306,2019-03-31|22:54
MINHO,"[STATION 3] MINHO 민호 'I’m Home (그래)' MV Teaser

🎧 민호 (MINHO) 'I'm Home (그래)' : 2019.3.28. 6PM (KST)

#민호 #MINHO #Im_Home #그래 #STATION https://t.co/5z5HbTWvNq",38219,Wed Mar 27 09:00:00 +0000 2019,"민호,MINHO,Im_Home,그래,STATION",1110828807160623104,ko,,7362516,SMTOWNGLOBAL,2019-03-31|22:57
MINHO,"SHINee's Minho has a long day in 'I'm Home' MV teaser
https://t.co/nuBfRpVRn9 https://t.co/uTu3TW12Qo",949,Wed Mar 27 09:07:52 +0000 2019,,1110830788663115776,en,https://www.allkpop.com/video/2019/03/shinees-minho-has-a-long-day-in-im-home-mv-teaser,5227263,allkpop,2019-03-31|22:57
MINHO,"RT @correios_anon: 🖇from: anônimo
🖇to: @hanjishyung

hey @hanjishyung, minho loves you!

""minho te ama e você é uma ótima stan, nunca pensa…",0,Wed Mar 27 23:59:58 +0000 2019,,1111055293327306757,pt,,174,hanjishyung,2019-03-31|22:57
MINHO,RT @soompi: WATCH: #SHINee’s Minho Looks Dandy In MV Teaser For “I’m Home” https://t.co/ewJvmUQp9h https://t.co/28WSdxLWSg,0,Wed Mar 27 23:59:58 +0000 2019,SHINee,1111055289837449216,en,https://www.soompi.com/article/1311141wpp/shinees-minho-to-release-1st-solo-song-via-sm-station,81,MysticToki,2019-03-31|22:57
MINHO,"RT @letterstokun: me: i hate MEN

chan: :(
woojin: :(
minho: :(
changbin: :(
hyunjin: :(
jisung: :(
felix: :(
seungmin: :(
jeongin: :(

me:…",0,Wed Mar 27 23:59:56 +0000 2019,,1111055284133396482,en,,1106,epiphxny7,2019-03-31|22:57
MINHO,RT @changlixfaith: a diferença entre o hyunjin e o minho é gritante todo susto que o hyunjin leva parece que o cérebro e o coração dele dá…,0,Wed Mar 27 23:59:55 +0000 2019,,1111055278911483904,pt,,141,AGrigorim,2019-03-31|22:57
